,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,weight
406,20349.0,666.9015827178955,302.51678466796875,66.18074035644531,94.6982650756836,293.8039855957031,76.5406494140625,171.0,4.0,256.0,127.0,20349.0,6129733.5,1349769.5,1941891670.0,386748922.9166666,105857877.33333333,642407740215.15,116917733515.66667,29250780317.8,9183949296.75,95430773.59122086,-19842424.148459375,16326317.889122322,-41954737.72180176,64394067.9285059,-4474440.945690155,-3591419.1258678436,0.23046357835760295,-0.04791909255741325,0.0394277600457073,-0.0007102697701153766,0.0010901548265574434,-7.57497320794523e-05,-6.080067652508666e-05,66.6
407,20687.0,681.5289993286133,304.00946044921875,66.25102996826172,96.03096008300781,296.954345703125,75.19071960449219,169.0,3.0,261.0,134.0,20687.0,6256097.333333333,1371622.5,1991506458.5,391349190.8333333,109187165.33333333,662587532768.2001,118147882769.48334,29782878756.483334,9691338216.45,99557222.54793143,-23452562.18015337,18243660.59575659,106864071.41784668,288742055.8113365,-127181181.55492687,32595847.1636734,0.23263643997378464,-0.05480185600023112,0.042630159263869614,0.0017361527406753966,0.004691008913416538,-0.002066231933608007,0.0005295640399715949,66.6
408,20863.5,681.2863587141037,301.793701171875,67.34947967529297,96.99105072021484,296.88818359375,75.19444274902344,168.0,5.0,260.0,133.0,20863.5,6268253.0,1403856.8333333333,1984082938.0833333,397884550.0416666,113167528.58333333,656891036620.0,119455783770.2,30630837310.833332,10178607920.85,100842078.59144521,-23891748.619256377,18705237.572875142,196754634.53271484,307542074.7718601,-154098650.3531599,46561069.42209244,0.23166875063206321,-0.054887519479472506,0.04297232940170206,0.0031293710132277827,0.004891438803587459,-0.00245093006697395,0.0007405510998022034,66.6
409,20890.0,686.357426404953,304.1462707519531,67.50652313232422,93.72628021240234,306.3478088378906,75.34381103515625,167.0,4.0,265.0,130.0,20890.0,6315901.5,1414977.8333333333,2014153710.5,403593907.0833333,113840155.5,672202345042.15,121958646975.66667,31086271566.966667,10155669450.25,104598336.74690056,-24211771.232451677,17997059.81667334,-7421606.582519531,170972069.29105854,-52310035.87534428,6690130.611253738,0.23968888700528845,-0.0554816900499612,0.04124057199173251,-0.00011766622725121881,0.002710685096970361,-0.0008293520412851216,0.00010606900542239112,66.6
410,15501.0,586.8183224201202,239.576171875,136.06837463378906,83.2020263671875,256.4166564941406,96.20179748535156,119.0,88.0,229.0,95.0,15501.0,3684184.1666666665,2113278.0,934224961.3333333,507801382.5833333,295425413.5,249786372124.75,129904719887.91667,71729804831.75,42272072493.0,58590294.28492606,5530216.376959503,7318587.793013334,-105356131.41253662,-88553388.97215652,6986945.356251955,706249.6259994507,0.24384072831844938,0.02301562068554685,0.03045845390419917,-0.0035217662295302164,-0.002960096679816821,0.00023355440137481283,2.3607986067028716e-05,46.6
411,14955.5,557.2030984163284,236.90684509277344,146.90469360351562,92.0494384765625,226.62034606933594,106.14458465576172,137.0,88.0,204.0,113.0,14955.5,3546459.0,2209745.0,885937312.0833333,535026907.5416666,337303242.0833333,231577069242.6,135937837994.91667,83119448563.61667,52984929799.0,44950956.65014815,11021020.54658115,10803093.975613713,172314910.4277954,-190458665.36221504,-123465996.98152637,-45615383.15509033,0.20097269878595836,0.04927424036512939,0.04829990534829386,0.006299709391395855,-0.006963032043346182,-0.004513828192647862,-0.0016676656531975273,46.6
412,14378.5,552.9432128667831,310.2313537597656,138.48794555664062,91.36151885986328,220.6870880126953,109.23681640625,202.0,73.0,206.0,125.0,14378.5,4421406.5,1987011.0,1398298505.0833333,622159054.875,285698040.5833333,453814666337.95,199895910745.73334,90841901483.73334,42536756968.200005,38710548.186421394,11150719.445608974,11106621.859474778,29067140.833068848,-197161393.71951866,-92506004.18899155,-14490306.047195435,0.18724151998071392,0.053935626223105215,0.05372232779562018,0.0011725148733273932,-0.007953127137949975,-0.0037315216658764597,-0.0005845122317663032,46.6
413,15429.0,589.1269783973694,339.5318298339844,121.09245300292969,86.06437683105469,250.39561462402344,116.30106353759766,235.0,44.0,209.0,147.0,15429.0,5224344.5,1865155.1666666665,1814892654.6666665,650595336.3333333,241940051.3333333,645677331571.25,232212586303.66666,86448761404.16667,33181734935.25,45900791.63729,19043509.473421216,16468290.639616251,60146065.38171387,-79598527.05776215,-77674313.29084301,-47092047.26748276,0.19281668752386355,0.07999658142085987,0.06917879054032211,0.00203405538668753,-0.0026919102971523523,-0.0026268360923327946,-0.0015925868434893387,46.6
414,15710.0,592.9848430156708,297.6776123046875,89.3665771484375,82.94318389892578,261.53509521484375,112.38739776611328,183.0,22.0,220.0,138.0,15710.0,4632729.333333333,1380012.8333333333,1419436471.0,425750929.5833333,135694562.16666666,449791820377.60004,135691047660.25,43326856379.78333,14504976516.75,53288725.8741498,18798292.195696354,14470156.045425788,-215147349.39642334,-83321876.63891602,9227641.848150253,42962558.150714874,0.21591507545518815,0.07616685539541829,0.058630128289707456,-0.006954974425552463,-0.002693509925817993,0.0002982979490200012,0.001388831858876249,46.6
415,15310.0,579.3036036491394,234.208984375,54.277652740478516,85.61018371582031,250.32049560546875,88.82901000976562,113.0,12.0,226.0,86.0,15310.0,3542070.1666666665,823156.6666666666,875420722.1666666,189415285.5833333,51240713.33333333,228286185071.15002,46729145755.25,11778437580.883333,3506084650.0,55939267.84987843,-1027475.4547318518,6982914.647652224,-132054436.41360474,136747108.66191578,34044669.32741618,193057.9002366066,0.2386527243835475,-0.004383500641571477,0.029791087171041775,-0.0045531820945534235,0.0047149834837146,0.0011738460517227546,6.656556178212863e-06,46.6
